npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/19/2026 1:47:42 AM ::1 GET /work.html
 HTTP  4/19/2026 1:47:42 AM ::1 Returned 301 in 272 ms
 HTTP  4/19/2026 1:47:43 AM ::1 GET /work
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 200 in 6 ms
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0r3h705yza7~k.css
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 4 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 4 ms
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0j3d3i.plnu4o.js
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 2 ms
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0551ns2gs23ze.js
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 2 ms
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0-i_7rhneaw-g.js
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0l1erb~pw3-ue.js
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/turbopack-0sz8gkg.btnvu.js
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0edri_z_w8qd-.js
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0s3br_o3msqke.js
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/099a.59-qgqp~.js
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 7 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 7 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 6 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 6 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 7 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 6 ms
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/085hse7~cceen.js
 HTTP  4/19/2026 1:47:43 AM ::1 GET /wanda-portfolio/_next/static/chunks/0-x-73t2v.6dg.js
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 2 ms
 HTTP  4/19/2026 1:47:43 AM ::1 Returned 404 in 2 ms
